Symbol
RELIANCE
TCS
HDFCBANK
ICICIBANK
INFY
HINDUNILVR
ITC
SBIN
BHARTIARTL
BAJFINANCE
KOTAKBANK
LT
AXISBANK
ASIANPAINT
MARUTI
SUNPHARMA
TITAN
ULTRACEMCO
WIPRO
NESTLEIND
ADANIENT
ADANIPORTS
BAJAJFINSV
HCLTECH
NTPC
POWERGRID
M&M
TATASTEEL
TATAMOTORS
JSWSTEEL
ONGC
COALINDIA
GRASIM
DIVISLAB
DRREDDY
CIPLA
EICHERMOT
BRITANNIA
HEROMOTOCO
HINDALCO
INDUSINDBK
BAJAJ-AUTO
APOLLOHOSP
UPL
SBILIFE
HDFCLIFE
TECHM
BPCL
SHREECEM
TATACONSUM
VEDL
GAIL
PIDILITIND
DABUR
GODREJCP
SIEMENS
DLF
HAVELLS
AMBUJACEM
BANDHANBNK
BERGEPAINT
BOSCHLTD
COLPAL
MARICO
MUTHOOTFIN
NAUKRI
PAGEIND
PEL
PIIND
SRF
TORNTPHARM
TRENT
ZYDUSLIFE
